n_data,setting,method,error_p
500,uniform_independent,LR,6.697630936451035
500,uniform_independent,RF_iso,10.238230655772385
500,uniform_independent,MLP,5.74972844205795
500,uniform_independent,KNN_iso,12.526372026232702
500,uniform_independent,ADA_iso,8.99386267781846
1000,uniform_independent,LR,2.7873484026449087
1000,uniform_independent,RF_iso,9.042390563857596
1000,uniform_independent,MLP,2.3501040539136153
1000,uniform_independent,KNN_iso,8.801886109229148
1000,uniform_independent,ADA_iso,6.123358483297276
5000,uniform_independent,LR,0.8437400914885099
5000,uniform_independent,RF_iso,7.49183306766108
5000,uniform_independent,MLP,0.8211800156858503
5000,uniform_independent,KNN_iso,9.089882678247614
5000,uniform_independent,ADA_iso,3.023661647202731
10000,uniform_independent,LR,0.5536053603571489
10000,uniform_independent,RF_iso,7.512056245814975
10000,uniform_independent,MLP,0.8512879195072849
10000,uniform_independent,KNN_iso,8.680694716503012
10000,uniform_independent,ADA_iso,1.8384457638084257
500,uniform_independent,LR,3.5350446998472775
500,uniform_independent,RF_iso,9.708305291792632
500,uniform_independent,MLP,1.9427104794654344
500,uniform_independent,KNN_iso,9.301926037796582
500,uniform_independent,ADA_iso,5.990231046630425
1000,uniform_independent,LR,2.129976067590921
1000,uniform_independent,RF_iso,7.965993734735248
1000,uniform_independent,MLP,1.8351782312329474
1000,uniform_independent,KNN_iso,7.853463108804407
1000,uniform_independent,ADA_iso,4.472955359898314
5000,uniform_independent,LR,0.674563330060944
5000,uniform_independent,RF_iso,7.582140437261832
5000,uniform_independent,MLP,0.7030146851504859
5000,uniform_independent,KNN_iso,8.580037696008183
5000,uniform_independent,ADA_iso,2.9380739227446475
10000,uniform_independent,LR,0.8321387911473292
10000,uniform_independent,RF_iso,7.629107641129516
10000,uniform_independent,MLP,0.9387078928199472
10000,uniform_independent,KNN_iso,8.99619341337576
10000,uniform_independent,ADA_iso,2.401885527095839
500,uniform_independent,LR,3.6680651918758014
500,uniform_independent,RF_iso,7.961677878190768
500,uniform_independent,MLP,1.8307027681135601
500,uniform_independent,KNN_iso,9.260943415597353
500,uniform_independent,ADA_iso,6.793710554318127
1000,uniform_independent,LR,2.1715050095673236
1000,uniform_independent,RF_iso,8.140590507230028
1000,uniform_independent,MLP,2.37666835611096
1000,uniform_independent,KNN_iso,10.198601857460114
1000,uniform_independent,ADA_iso,5.0090924870080995
5000,uniform_independent,LR,0.931193051613155
5000,uniform_independent,RF_iso,7.93541832182953
5000,uniform_independent,MLP,1.0653996641630592
5000,uniform_independent,KNN_iso,9.020013096328338
5000,uniform_independent,ADA_iso,3.0106150379117746
10000,uniform_independent,LR,0.45177136348495467
10000,uniform_independent,RF_iso,7.64061236813877
10000,uniform_independent,MLP,0.578081110129802
10000,uniform_independent,KNN_iso,8.68486746044858
10000,uniform_independent,ADA_iso,2.1988887046944123
