seed,alpha,method,VaR,lb_bound,ub_bound,CVaR_beta,CVaR_lb_bound,CVaR_ub_bound,a,b,pi,rho,mom1_pi,mom2_rho
0,0.9,LR,2736.0,1092.0,6000,3223.0,1582.0,6000,2.4212993845022144,6.756253758741586,0.26382842427719333,0.09825544371279785,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
0,0.95,LR,3115.0,1350.0,6000,3535.0,1582.0,6000,2.4212993845022144,6.756253758741586,0.26382842427719333,0.09825544371279785,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
0,0.99,LR,3801.0,1538.0,6000,4115.0,1583.0,6000,2.4212993845022144,6.756253758741586,0.26382842427719333,0.09825544371279785,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
0,0.9,MLP,3087.0,738.0,6000,3894.0,1265.0,6000,0.6625727469852792,2.4812211585168886,0.21075578326736544,0.24132474317127373,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
0,0.95,MLP,3760.0,1015.0,6000,4388.0,1265.0,6000,0.6625727469852792,2.4812211585168886,0.21075578326736544,0.24132474317127373,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
0,0.99,MLP,4803.0,1216.0,6000,5153.0,1265.0,6000,0.6625727469852792,2.4812211585168886,0.21075578326736544,0.24132474317127373,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
0,0.9,RF,2938.0,805.0,6000,3653.0,1325.0,6000,0.9232109067481069,3.258195891393445,0.2207895455563981,0.19299777820160277,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
0,0.95,RF,3518.0,1078.0,6000,4100.0,1325.0,6000,0.9232109067481069,3.258195891393445,0.2207895455563981,0.19299777820160277,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
0,0.99,RF,4480.0,1277.0,6000,4842.0,1325.0,6000,0.9232109067481069,3.258195891393445,0.2207895455563981,0.19299777820160277,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
0,0.9,AB,3017.0,801.0,6000,3763.0,1320.0,6000,0.8290526760461221,2.936701654094709,0.22015580501639292,0.2098303711703178,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
0,0.95,AB,3628.0,1074.0,6000,4225.0,1321.0,6000,0.8290526760461221,2.936701654094709,0.22015580501639292,0.2098303711703178,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
